,Full Username,Date of Tweet,Number of Replies,Total Engagements,cleaned tweet,sentiment text,sentiment_prob,tags,outlier_merged,merged_label,merged_description
0,@Iam_krix007,2025-07-02,0,0.0,"Chris (That Ebony Boy) Lagosbrtbuses Who so ever that is charge of the Lagos BRT Buses Oshodi terminal 3(Ajah) route, should please look into the way buses are being delayed while commuters are waiting to go to their various places of work. Please treat as urgent.",neutral,0.560656548,"DELAY, SUGGESTION",1,"Urban Decay, Sanitation Crisis & Symbolic Politics of BRT","This topic captures intense public debate about Lagos “smelling,” environmental degradation around BRT terminals, and sanitation failures. BRT appears as a symbolic site where governance, urban neglect, migration, and identity politics collide. Discussions often escalate into partisan attacks, ethnic blame, and moral judgments, showing how transport infrastructure becomes a proxy for wider urban governance failures."
1,@MobilePunch,2025-07-02,1,61.0,The Lagos State Government has temporarily suspended enforcement of the Bus Rapid Transit lane along the Eko Bridge and Odo Iya-Alaro corridor to ease growing traffic congestion. From punchng.com,neutral,0.872185528,"LEGAL, NEWS",0,"BRT Lane Enforcement, Traffic Policy & Road Governance","This topic clusters official announcements, news reports, and citizen reactions concerning the enforcement or suspension of BRT lane restrictions—especially on Eko Bridge and Odo Iya-Alaro. It reflects tensions between traffic congestion management, road repairs, enforcement practices, and allegations of extortion by task forces and police. The discourse blends policy communication with everyday commuter frustrations."
2,@DanielEfik9390,2025-07-03,0,1.0,Lagos State Govt has suspended BRT lane enforcement on the Eko Bridge and Odo Iya-Alaro corridor amid road repairs. Source: Premium Times Nigeria,neutral,0.708581448,"INFRASTRUCTURE, NEWS",0,"BRT Lane Enforcement, Traffic Policy & Road Governance","This topic clusters official announcements, news reports, and citizen reactions concerning the enforcement or suspension of BRT lane restrictions—especially on Eko Bridge and Odo Iya-Alaro. It reflects tensions between traffic congestion management, road repairs, enforcement practices, and allegations of extortion by task forces and police. The discourse blends policy communication with everyday commuter frustrations."
3,@RadioNow953FM,2025-07-03,0,0.0,"The Lagos State Government has temporarily lifted BRT lane restrictions along Eko Bridge and Odo Iya-Alaro. Continue reading at thisisRadioNow.com -- radionow953fm news lagos nigeria Follow, Like, Comment & Share Listen Online at thisisRadioNow.com",neutral,0.889311552,NEWS,0,"BRT Lane Enforcement, Traffic Policy & Road Governance","This topic clusters official announcements, news reports, and citizen reactions concerning the enforcement or suspension of BRT lane restrictions—especially on Eko Bridge and Odo Iya-Alaro. It reflects tensions between traffic congestion management, road repairs, enforcement practices, and allegations of extortion by task forces and police. The discourse blends policy communication with everyday commuter frustrations."
4,@whispering_wiz,2025-07-03,1,17.0,"- World Bank approves New 65million for Nigeria's SPESSE project, funding totalling 145M - Former AGF, Abubakar Malami quit APC' joins ADC coalition -Lagos halt BRT lane enforcement on Eko Bridge, Odo Iya-Alaro -Political expired people can't see Tinubu's good work Wike",neutral,0.719570696,"LEGAL, NEWS",4,"Political Legacy, Infrastructure Achievement & Elite Narratives","This topic frames BRT as a political and infrastructural achievement, often linked to historical figures like Tinubu and Fashola. It highlights discussions about urban development projects, economic modeling, and governance capacity, frequently used in political discourse to showcase success or draw comparisons with other regions."
5,@Kellybrown850,2025-07-03,0,0.0,JUST IN: The Lagos State Government has suspended the Bus Rapid Transit (BRT) lane enforcement along the Eko Bridge and Odo Iya-Alaro corridors to mitigate traffic congestion faced by commuters due to the rehabilitation of the Ifako Bridge expansion joint.,neutral,0.808019817,NEWS,0,"BRT Lane Enforcement, Traffic Policy & Road Governance","This topic clusters official announcements, news reports, and citizen reactions concerning the enforcement or suspension of BRT lane restrictions—especially on Eko Bridge and Odo Iya-Alaro. It reflects tensions between traffic congestion management, road repairs, enforcement practices, and allegations of extortion by task forces and police. The discourse blends policy communication with everyday commuter frustrations."
6,@FirstDailyMedia,2025-07-03,0,3.0,"In a bid to alleviate mounting traffic woes, the Lagos State Government has temporarily lifted Bus Rapid Transit (BRT) lane restrictions on Eko Bridge and Odo Iya-Alaro flyover, opening them to all vehicles during rush hours. firstnewsonline.ng/lagos-suspends. BRTLane Lagos",neutral,0.824131489,NEWS,0,"BRT Lane Enforcement, Traffic Policy & Road Governance","This topic clusters official announcements, news reports, and citizen reactions concerning the enforcement or suspension of BRT lane restrictions—especially on Eko Bridge and Odo Iya-Alaro. It reflects tensions between traffic congestion management, road repairs, enforcement practices, and allegations of extortion by task forces and police. The discourse blends policy communication with everyday commuter frustrations."
7,@TheNationNews,2025-07-03,0,7.0,"Lagos approves temporary BRT lane access on Eko bridge, Odo Iyalaro corridor for traffic relief In a move aimed at alleviating severe traffic congestion caused by ongoing repairs on the Ifako Bridge, the Lagos State Government has approved the temporary suspension of Bus Rapid Transit (BRT) lane enforcement along the Eko Bridge and Odo Iyalaro corridors. The directive, issued by Sola Giwa, the Special Adviser to the Governor on Transportation, comes into immediate effect. The suspension is a direct response to the gridlock precipitated by the structural rehabilitation of the Ifako Bridge expansion joint, which has led to partial closures and significantly slowed vehicular movement on key routes into the Lagos Mainland. Giwa's directives read: ""Relief for Commuters: Special Adviser on Transport Approves Suspension of BRT Lane Enforcement on Eko Bridge, Odo Iyalaro Amid Ifako Bridge Repairs."" Source: X Sola_Giwa ---- Follow us for more breaking news and video content For more stories: thenationonlineng.net ifakobridge lagos TrafficUpdate",neutral,0.847094834,"NEWS, INFRASTRUCTURE",0,"BRT Lane Enforcement, Traffic Policy & Road Governance","This topic clusters official announcements, news reports, and citizen reactions concerning the enforcement or suspension of BRT lane restrictions—especially on Eko Bridge and Odo Iya-Alaro. It reflects tensions between traffic congestion management, road repairs, enforcement practices, and allegations of extortion by task forces and police. The discourse blends policy communication with everyday commuter frustrations."
8,@lagostraffic961,2025-07-05,1,2.0," INCIDENT REPORT ��������� EBUTE-ERO / APONGBON Location: Eko Bridge by NEPA, inward Costain A Lagos State colour commercial bus (Volkswagen T4) has collided with a BRT bus at the above-mentioned location. A towing truck has been contacted for evacuation. Traffic personnel are on ground, visibly managing the situation and doing the needful. The incident has caused a backlog on Eko Bridge, inward NEPA intersection. Motorists are advised to approach the area with caution and consider alternat",neutral,0.648569763,ACCIDENT,3,"Accidents, Fires & Operational Safety Failures","This cluster focuses on BRT-related accidents, bus fires, collisions, and emergency incidents. It emphasizes operational risks, driver conduct, vehicle maintenance, and emergency response. The tone is largely alarmist and incident-driven, reinforcing perceptions of safety vulnerabilities in the system."
9,@kne_yi,2025-07-07,0,1.0,"Onto today's episode of WWE Lagos government need to do something concerning this brt station in iyana ipaja as fast as possible, it's never organized and people lives are at risk WAFCON2024 Edocarnival2025 NigerianIdol MondayMotivaton lindaikeji Gistloversblog1",negative,0.769153893,OTHERS,-1,Noise,Noise
